Periods,Years,Obj fun 2019,Ind CO2 GtCO2/yr,Atm conc C (ppm),Atm conc GtC,Atm temp (deg c above preind),Tot forcing w/m2,Forcings exog w/m2,CO2 forcing 2/m2,Actual other abat GHG forcings w/m2,Carbon price 2019 x tCO2,Emissions control rate,Social cost carbon $/tCO2,Output net net trill 2019,Short interest rate %/yr,Population,TFP,output gross gross 2019$,Change TFP %/yr,Capital stock 2019$,"Savings rate, fraction gross output","Gross investment, 2019$",Y gross-net 2019$,Consumption per capita 2019$,Consumption,"Climate damages, fraction of output",Damages 2019$,Abatement 2019$,Abatement/Output,Sigmabase CO2/output no controls,"Sigmatot CO2/output,no controls, all CO2",Cost backstop technology $/tCO2,Total CO2 Emissions GtCO2/yr,Total CO2e Emissions GtCO2e/yr,Industrial CO2 emissions GtCO2/yr,Base abateable non-CO2 emission GtCO2e/yr,Land emissions GtCO2,Cumulative CO2 emissions GtC,Atm fraction CO2 since 1765,Atm fraction CO2 since 2020
1,2020,1251.0332761672,12.4255192028,416.2031931455,886.5128014,1.24715,2.7918384643,-0.054,2.3278384643,0.518,5.7603328701,0.05,30.0229311863,134.1620041573,0,7752.9,5.84,134.8914364654,0.066,295,0.2602579733,34.9167312899,134.1640326022,12.8010515894,99.2452728674,0.0053925133,0.7274038633,0.0020284449,1.51194e-05,0.0969631152,0.1357483613,695.1772859016,18.0305192028,27.4925192028,12.4255192028,9.96,5.9,633.5,0.4712119916,0
2,2025,NaN,12.8601307642,416.8217268025,887.8302780893,1.369081927,2.8385558785,-0.0340625,2.3362582785,0.5363601,14.0335925988,0.09,35.3210955132,156.0671612072,0.0461808762,8137.3673508502,6.2526766595,157.0975884401,0.0655068516,348.7782064495,0.2568739761,40.0895922329,156.0766907177,14.2524681477,115.9775689743,0.0064984939,1.0208977224,0.0095295105,6.10603e-05,0.0899568986,0.1248714198,661.2730895942,17.6922307642,27.0709182642,12.8601307642,10.30625,5.31,658.0915428298,0.4556057236,0.0535743594
3,2030,NaN,13.1940736167,419.3506357037,893.2168540489,1.4379003392,2.9078011833,-0.014125,2.3705536716,0.5513725117,24.0422710544,0.13,40.1813107622,179.8495958378,0.0450045831,8481.1706083346,6.6909818123,181.1733768296,0.065017388,406.3980042907,0.2545407328,45.7790479133,179.8746859426,15.8080239292,134.0705479245,0.0071682215,1.298690887,0.0250901048,0.000139506,0.0837076734,0.1152026855,629.0224204525,17.3518036167,26.6194786167,13.1940736167,10.6525,4.779,682.2216993549,0.4473866045,0.1375988802
4,2035,NaN,13.4431790535,422.3217707355,899.5453716666,1.4920845487,2.9796335183,0.0058125,2.4105829895,0.5632380288,35.1293145254,0.17,45.1656439476,205.6859983098,0.0440800235,8786.6181848006,7.1562633642,207.3371163945,0.0645315817,468.8691971202,0.252861799,52.0101315584,205.7367561218,17.4897626731,153.6758667514,0.0077186386,1.6003602726,0.050757812,0.0002467733,0.0781172303,0.1065811961,598.3446350051,17.0130920535,26.1420545535,13.4431790535,10.99875,4.3011,705.8875526238,0.4413526858,0.1800388049
5,2040,NaN,13.6162149872,425.4986593231,906.3121443582,1.5419220868,3.0509535508,0.02575,2.4530740161,0.5721295347,46.8584100841,0.21,50.2393726018,233.7446101325,0.0432805433,9056.4844687876,7.6499251325,235.7763114437,0.0640494052,536.9132299997,0.2516351743,58.8183657036,233.8328368411,19.3150272638,174.9262444288,0.0082428747,1.9434746026,0.0882267087,0.0003774492,0.0731019799,0.0988704278,569.163022809,16.6742970872,25.6368470872,13.6162149872,11.345,3.87099,729.0914424949,0.4365874038,0.2071246167
6,2045,NaN,13.9013717704,428.8990631738,913.5550045603,1.5905237953,3.1220878617,0.0456875,2.4982044798,0.5781958819,55.1899422817,0.24,55.2994339922,264.2096954633,0.0425529946,9293.7833464428,8.1734283574,266.6735335895,0.0635708316,611.1337217007,0.2507610032,66.2534882925,264.3346204216,21.2998517172,197.9562071709,0.0087706985,2.3389131679,0.1249249583,0.000472825,0.0685905286,0.0919541775,541.4046146337,16.5491289304,25.4344789304,13.9013717704,11.69125,3.483891,751.8332552162,0.4330148979,0.2285257921
7,2050,NaN,14.1407684361,432.4521876815,921.1231597616,1.638877414,3.193287938,0.065625,2.5449811912,0.5826817468,63.3854023882,0.27,60.1929367174,297.2581698267,0.0418680875,9501.5984247488,8.7282932152,300.2232970078,0.0630958338,692.1357927894,0.2501258711,74.3519586556,297.4275931107,23.4598644572,222.9062111711,0.0093120818,2.7957038971,0.1694232841,0.0005699533,0.0645216939,0.0857332007,515,16.4296848231,25.2170598231,14.1407684361,12.0375,3.1355019,774.4043530481,0.4301669459,0.2456301396
8,2055,NaN,14.3368149997,436.114455972,928.9237912204,1.6870832779,3.2639651807,0.0855625,2.5927942654,0.5856084152,74.6499917704,0.3,64.7097313668,333.0697884029,0.041215593,9682.9613941428,9.3161003335,336.6238904794,0.0626243852,780.4590575622,0.2496057841,83.1361456993,333.3021031959,25.8116946387,249.9336427036,0.0098679487,3.3217872835,0.232314793,0.0006974958,0.060842872,0.0801224571,512.4314267842,16.3121811967,24.9808061967,14.3368149997,12.38375,2.82195171,796.8125429324,0.4278594633,0.2596921612
9,2060,NaN,14.4903799282,439.8533828741,936.8877055219,1.7350297885,3.3336899479,0.1055,2.6411957336,0.5869942143,86.5140390071,0.33,68.5809756008,371.8375013044,0.0406060487,9840.7694557889,9.9384923038,376.0724120784,0.0621564592,876.5339973965,0.2490274994,92.597763119,372.1474163506,28.3758032784,279.2397381854,0.0104368084,3.9249957278,0.3099150462,0.000833469,0.0575086926,0.0750488438,509.8756643808,16.1920168093,24.7211168093,14.4903799282,12.73,2.539756539,819.0604714603,0.4259608581,0.2714743124
10,2065,NaN,14.7386254289,443.7226669882,945.1292806848,1.7828954005,3.4031458509,0.1254375,2.6908534274,0.5868549235,96.2954046739,0.3539528954,71.4710331554,413.7499575268,0.0400648783,9977.7332798719,10.5971751914,418.7515875754,0.0616920296,980.5733757177,0.2480810993,102.643544283,414.1366903105,31.1800691116,311.1064132438,0.0110206084,4.6148972649,0.3867327837,0.0009347017,0.0544799036,0.0704493254,507.3326488956,16.2153475515,24.6632210036,14.7386254289,13.07625,2.2857808851,841.1445096618,0.4245754116,0.2822924457
11,2070,NaN,15.4312383011,447.967534887,954.1708493092,1.831949546,3.4761699044,0.145375,2.7448356238,0.5859592806,97.617875954,0.3581005672,72.9728112085,458.9657045506,0.0396479058,10096.3480265077,11.2939200404,464.7878133135,0.0612310701,1092.2364940424,0.2461732225,112.9850664978,459.3798269095,34.2678993577,345.9806380528,0.0116353877,5.407986404,0.4141223589,0.0009022948,0.0517224459,0.0662693838,504.802316753,16.7517556094,25.3676507457,15.4312383011,13.4225,2.0572027966,863.2603682972,0.4241719631,0.2944722167
12,2075,NaN,16.2941960736,452.6374626333,964.1177954088,1.8835260267,3.5557407898,0.1653125,2.8036355507,0.5867927391,96.2033437542,0.3559591718,72.6174922291,507.4096687716,0.039459372,10198.8812100628,12.0305643707,514.1566654751,0.0607735549,1209.8800598561,0.241953766,122.7696802649,507.8326552511,37.7139394591,384.6399885067,0.0122997729,6.3240102239,0.4229864795,0.0008336193,0.0492066804,0.06246173,502.2846046946,17.4866264072,26.3542635611,16.2941960736,13.76875,1.8514825169,886.107825484,0.4244605231,0.3072153081
13,2080,NaN,17.3903160126,457.8331856199,975.1846853704,1.9385695294,3.6435115892,0.18525,2.868347106,0.5899144832,91.2326848373,0.3454280001,69.8901897208,558.6044285309,0.0397607816,10287.3724202983,12.8090136659,566.3889458099,0.0603194582,1328.270477869,0.2325666707,129.912772163,559.0093704061,41.6716376985,428.6916563679,0.0130291657,7.3795754038,0.4049418752,0.0007249171,0.0469067433,0.0589852297,499.7794497775,18.4810517651,27.720335544,17.3903160126,14.115,1.6663342652,909.9575614459,0.425497515,0.3207431922
14,2085,NaN,18.7715232928,463.6838208161,987.6465383383,1.9980914989,3.7416811775,0.2051875,2.9403421473,0.5961515301,81.983695409,0.3241159138,64.3119144654,611.0049306152,0.0411426118,10363.6410248158,13.6312428495,619.9394151297,0.0598687545,1433.8942952917,0.2114285115,129.1838630179,611.3584954866,46.4914856124,481.8210675973,0.0138415455,8.5809196431,0.3535648714,0.0005786612,0.0448000033,0.0558040042,497.2867893726,19.7851472237,29.5592759653,18.7715232928,14.46125,1.4997008387,935.1635785833,0.4273546823,0.3352533775
15,2090,NaN,20.4129491439,470.3025045785,1001.7443347523,2.0631347419,3.8524557191,0.225125,3.0207013222,0.6066293969,68.1424089469,0.2896434891,55.6105500051,660.2014548804,0.0450786134,10429.2989229587,14.4992977474,670.363388263,0.0594214185,1492.6195575163,0.1614717864,106.6039082991,660.4705863351,53.0809933314,553.5975465813,0.014757372,9.8928019278,0.2691314547,0.0004076505,0.0428666062,0.0528866753,494.8065611634,21.3717391736,31.8903432083,20.4129491439,14.8075,1.3497307548,962.1482310979,0.4300214012,0.3506226991
16,2095,NaN,21.980533672,477.6227919889,1017.3365469363,2.134141744,3.9760952863,0.2450625,3.108272207,0.6227605793,50.2147202034,0.2400791355,44.1142302203,692.6727422238,0.0561400981,10485.7661941345,15.4152965339,703.9524922594,0.0589774249,1414.3964640134,0.0252415869,17.4841592407,692.8366157357,64.3909629952,675.1885829831,0.0157906629,11.1158765238,0.1638735118,0.0002365814,0.0410890891,0.0502057307,492.338703144,22.9036533779,34.4193041779,21.980533672,15.15375,1.2147576794,991.296811531,0.4331059453,0.3656369695
17,2100,NaN,22.7678906657,485.2469085541,1033.5759152203,2.2102261726,4.1092335716,0.265,3.1980622477,0.6461713239,17.7830627688,0.1258769714,20.649315535,648.9988973312,0.0105934435,10534.288095593,16.3814311601,660.2077326175,0.0585367488,922.6077642387,0,0,649.0260314114,61.6082350741,648.9988973312,0.0169366408,11.1817012061,0.0271340802,4.18091e-05,0.0394520549,0.0477369864,489.8831536179,23.7235535612,37.2724605042,22.7678906657,15.5,1.0932819114,1022.5347457616,0.4357562545,0.3780205024
